Location,Count,Max,Timestamp
Nick Level 1 Fitness,35,150,2/5/2024 13:56
Nick Level 2 Fitness,25,100,2/5/2024 13:56
Nick Level 3 Fitness,95,200,2/5/2024 13:56
Nick Power House,54,140,2/5/2024 13:56
Nick Track,14,100,2/5/2024 13:56
Soderholm Family Aquatic Center,9,230,2/5/2024 13:56
Nick Courts 1 & 2,1,250,2/5/2024 13:56
Nick Courts 3-6,15,500,2/5/2024 13:56
Nick Courts 7 & 8,7,250,2/5/2024 13:56
Level 1 Fitness,41,130,2/5/2024 13:56
Level 2 Fitness,9,65,2/5/2024 13:56
Level 3 Fitness,22,246,2/5/2024 13:56
Level 4 Fitness,12,75,2/5/2024 13:56
Bakke Track,5,100,2/5/2024 13:56
Courts 1&2,0,250,2/5/2024 13:56
Courts 3&4,1,250,2/5/2024 13:56
Courts 5-8,3,500,2/5/2024 13:56
Orbit,13,46,2/5/2024 13:56
Willow Room,0,27,2/5/2024 13:56
Cove Pool,4,116,2/5/2024 13:56
Mount Mendota,2,39,2/5/2024 13:56
Skybox Suites,3,18,2/5/2024 13:56
SubZero Ice Center,,,2/5/2024 13:56
Nick Level 1 Fitness,32,150,2/5/2024 14:16
Nick Level 2 Fitness,23,100,2/5/2024 14:16
Nick Level 3 Fitness,87,200,2/5/2024 14:16
Nick Power House,56,140,2/5/2024 14:16
Nick Track,10,100,2/5/2024 14:16
Soderholm Family Aquatic Center,,,2/5/2024 14:16
Nick Courts 1 & 2,3,250,2/5/2024 14:16
Nick Courts 3-6,11,500,2/5/2024 14:16
Nick Courts 7 & 8,5,250,2/5/2024 14:16
Level 1 Fitness,21,130,2/5/2024 14:17
Level 2 Fitness,8,65,2/5/2024 14:17
Level 3 Fitness,25,246,2/5/2024 14:17
Level 4 Fitness,8,75,2/5/2024 14:17
Bakke Track,5,100,2/5/2024 14:17
Courts 1&2,0,250,2/5/2024 14:17
Courts 3&4,0,250,2/5/2024 14:17
Courts 5-8,1,500,2/5/2024 14:17
Orbit,13,46,2/5/2024 14:17
Willow Room,3,27,2/5/2024 14:17
Cove Pool,2,116,2/5/2024 14:17
Mount Mendota,6,39,2/5/2024 14:17
Skybox Suites,2,18,2/5/2024 14:17
SubZero Ice Center,,,2/5/2024 14:17
Nick Level 1 Fitness,32,150,2/5/2024 14:37
Nick Level 2 Fitness,23,100,2/5/2024 14:37
Nick Level 3 Fitness,87,200,2/5/2024 14:37
Nick Power House,56,140,2/5/2024 14:37
Nick Track,10,100,2/5/2024 14:37
Soderholm Family Aquatic Center,,,2/5/2024 14:37
Nick Courts 1 & 2,3,250,2/5/2024 14:37
Nick Courts 3-6,11,500,2/5/2024 14:37
Nick Courts 7 & 8,5,250,2/5/2024 14:37
Level 1 Fitness,21,130,2/5/2024 14:37
Level 2 Fitness,8,65,2/5/2024 14:37
Level 3 Fitness,25,246,2/5/2024 14:37
Level 4 Fitness,8,75,2/5/2024 14:37
Bakke Track,5,100,2/5/2024 14:37
Courts 1&2,0,250,2/5/2024 14:37
Courts 3&4,0,250,2/5/2024 14:37
Courts 5-8,1,500,2/5/2024 14:37
Orbit,13,46,2/5/2024 14:37
Willow Room,3,27,2/5/2024 14:37
Cove Pool,2,116,2/5/2024 14:37
Mount Mendota,6,39,2/5/2024 14:37
Skybox Suites,2,18,2/5/2024 14:37
SubZero Ice Center,,,2/5/2024 14:37
